"formation","validName","SourceNameAuthor","References","Observaciones","Chronostratigraphy","long","lat","AgeGroup"
"LaGolondrina","Cyathocarpus_polinensis","Cyathocarpus polinensis Rodriguez Rizk and Cariglino","This study",NA,"Kungurian–Capitanian",-67.2398571988655,-48.1617783610559,"GL"
"Xuanwei","Cyathocarpus_benefoliatii","Cyathocarpus benefoliatii Guo, Zhou and Feng","Guo et al. (2024)",NA,"Lopingian",104.388888888889,25.8419444444445,"GL"
